mh_id,bird_sp,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
309,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445279,36.9655276,NA
309,Erithacus rubecula,Puntal,PL,0.22,14,63.63636363636363,Pistacia lentiscus,-6.445279,36.9655276,NA
309,Sylvia melanocephala,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445279,36.9655276,NA
310,Erithacus rubecula,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.445324,36.9653638,NA
310,Sylvia melanocephala,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.445324,36.9653638,NA
311,Erithacus rubecula,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,Sylvia melanocephala,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4454804,36.9653452,NA
311,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4454804,36.9653452,NA
312,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Erithacus rubecula,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sturnus unicolor,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia atricapilla,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia borin,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia communis,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
312,Sylvia melanocephala,Puntal,PL,0.22,14,63.63636363636363,Pistacia lentiscus,-6.445677,36.9646322,NA
312,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445677,36.9646322,NA
313,Erithacus rubecula,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Saxicola rubicola,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Sylvia melanocephala,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.446062,36.9647111,NA
314,Chloris chloris,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Erithacus rubecula,Puntal,PL,0.44,35,79.54545454545455,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sturnus unicolor,Puntal,PL,0.44,3,6.818181818181818,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia melanocephala,Puntal,PL,0.44,16,36.36363636363637,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia undata,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Turdus merula,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.4462849,36.9644358,NA
315,Erithacus rubecula,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,Sylvia melanocephala,Puntal,PL,0.22,16,72.72727272727273,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4460781,36.9643791,NA
316,Erithacus rubecula,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4462629,36.9647623,NA
316,Sylvia melanocephala,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4462629,36.9647623,NA
317,Erithacus rubecula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457802,36.9650922,NA
317,Sylvia melanocephala,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4457802,36.9650922,NA
318,Chloris chloris,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Erithacus rubecula,Puntal,PL,0.22,18,81.81818181818181,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia communis,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia melanocephala,Puntal,PL,0.22,11,50,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,NA,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4456448,36.9652256,NA
319,Erithacus rubecula,Puntal,PL,0.22,11,50,Pistacia lentiscus,-6.445606,36.965501,NA
319,Pyrrhula pyrrhula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia melanocephala,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia undata,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
319,NA,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445606,36.965501,NA
320,Chloris chloris,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.446655,36.965437,NA
320,Erithacus rubecula,Puntal,PL,0.44,24,54.54545454545455,Pistacia lentiscus,-6.446655,36.965437,NA
320,Fringilla coelebs,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Phoenicurus phoenicurus,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia atricapilla,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia melanocephala,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia undata,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Turdus merula,Puntal,PL,0.44,5,11.363636363636363,Pistacia lentiscus,-6.446655,36.965437,NA
320,NA,Puntal,PL,0.44,3,6.818181818181818,Pistacia lentiscus,-6.446655,36.965437,NA
321,Chloris chloris,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Erithacus rubecula,Puntal,PL,0.22,9,40.90909090909091,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Sylvia atricapilla,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Sylvia melanocephala,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4468212,36.9652785,NA
322,Erithacus rubecula,Puntal,PL,0.22,19,86.36363636363636,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Sylvia atricapilla,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Sylvia melanocephala,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466821,36.9651221,NA
323,Erithacus rubecula,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Phoenicurus phoenicurus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Saxicola rubicola,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia melanocephala,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia undata,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Turdus merula,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,NA,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4459763,36.9650225,NA
324,Erithacus rubecula,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4463152,36.9652821,NA
324,Sylvia communis,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4463152,36.9652821,NA
324,Sylvia melanocephala,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4463152,36.9652821,NA
325,Erithacus rubecula,Puntal,PL,0.22,13,59.09090909090909,Pistacia lentiscus,-6.4462464,36.9655517,NA
325,Sylvia communis,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4462464,36.9655517,NA
325,Sylvia melanocephala,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4462464,36.9655517,NA
325,NA,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4462464,36.9655517,NA
326,Chloris chloris,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4459194,36.9656001,NA
326,Erithacus rubecula,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4459194,36.9656001,NA
326,Ficedula hypoleuca,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459194,36.9656001,NA
326,Sylvia atricapilla,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459194,36.9656001,NA
326,Sylvia hortensis,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4459194,36.9656001,NA
