site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2019-20,2019-20 early,1,316,342,340,329,11,2,262,67,0,11,4,3,23,NA,early,0.22941176470588234,0.7705882352941177,0.011764705882352941,0.08755656108597286,0.6712669683257919,0.022802348106668573,0.02280234810666857
puntal,2019-20,2019-20 mid,2,316,280,232,172,60,48,140,32,4,56,4,30,10,NA,mid,0.3793103448275862,0.6206896551724138,0.017241379310344827,0.4525862068965517,0.15086206896551724,0.031855953209557225,0.031855953209557225
puntal,2019-20,2019-20 late,3,316,49,20,16,4,29,15,1,0,4,0,8,1,NA,late,0.25,0.75,0,0.6666666666666666,0.08333333333333333,0.09682458365518543,0.09682458365518543
puntal,2018-19,2018-19 early,1,317,223,221,205,16,2,176,29,5,11,0,32,7,NA,early,0.18099547511312217,0.8190045248868778,0,0.6720037127276945,0.1470008121591832,0.025898873392371832,0.025898873392371832
puntal,2019-20,2019-20 mid,2,317,184,142,138,4,42,69,69,1,3,0,17,8,NA,mid,0.5070422535211268,0.49295774647887325,0,0.33521126760563386,0.15774647887323945,0.041954905928223526,0.041954905928223526
puntal,2019-20,2019-20 late,3,317,80,41,33,8,39,33,0,1,7,0,16,8,NA,late,0.17073170731707318,0.8292682926829268,0,0.5528455284552845,0.2764227642276422,0.05876418177221406,0.05876418177221407
puntal,2018-19,2018-19 early,1,318,275,273,231,42,2,130,101,1,41,1,32,7,NA,early,0.5201465201465202,0.47985347985347987,0.003663003663003663,0.3907203907203907,0.08547008547008547,0.030236801542068793,0.03023680154206879
puntal,2019-20,2019-20 early,1,318,215,126,126,0,89,123,3,0,0,0,19,21,NA,early,0.023809523809523808,0.9761904761904762,0,0.46369047619047615,0.5125,0.01358180107790356,0.013581801077903567
puntal,2019-20,2019-20 mid,2,318,363,347,317,30,16,126,191,0,30,0,29,11,NA,mid,0.6368876080691642,0.3631123919308357,0,0.26325648414985586,0.09985590778097983,0.025815895666055095,0.025815895666055095
puntal,2019-20,2019-20 late,3,318,52,49,38,11,3,33,5,0,11,0,13,2,NA,late,0.32653061224489793,0.673469387755102,0,0.5836734693877551,0.08979591836734693,0.06699198421618692,0.06699198421618692
puntal,2018-19,2018-19 early,1,319,342,335,311,24,7,279,32,2,22,2,17,21,NA,early,0.16119402985074627,0.8388059701492537,0.005970149253731343,0.37258444619010217,0.4602513747054203,0.020090133807212692,0.020090133807212692
puntal,2019-20,2019-20 early,1,319,370,368,363,5,2,273,90,0,5,0,1,29,NA,early,0.25815217391304346,0.7418478260869565,0,0.024728260869565217,0.7171195652173913,0.02281242206758655,0.02281242206758655
puntal,2019-20,2019-20 mid,2,319,122,119,107,12,3,102,5,1,11,0,28,12,NA,mid,0.13445378151260504,0.865546218487395,0,0.6058823529411764,0.2596638655462185,0.03127218031671371,0.03127218031671371
puntal,2019-20,2019-20 late,3,319,125,118,103,15,7,101,2,7,8,1,21,9,NA,late,0.0847457627118644,0.9152542372881356,0.00847457627118644,0.6347457627118643,0.27203389830508473,0.025638278852014102,0.025638278852014102
puntal,2018-19,2018-19 early,1,320,290,287,260,27,3,216,44,4,23,1,35,4,NA,early,0.23344947735191637,0.7665505226480837,0.003484320557491289,0.6848030018761727,0.07826320021441972,0.024970422843629693,0.024970422843629693
puntal,2019-20,2019-20 early,1,320,164,103,62,41,61,57,5,0,41,0,28,2,NA,early,0.44660194174757284,0.5533980582524272,0,0.516504854368932,0.036893203883495145,0.0489847060910238,0.0489847060910238
puntal,2019-20,2019-20 mid,2,320,236,175,160,15,61,155,5,8,7,10,39,1,NA,mid,0.06857142857142857,0.9314285714285714,0.05714285714285714,0.8524285714285713,0.021857142857142856,0.019104133846609077,0.01910413384660908
puntal,2019-20,2019-20 late,3,320,99,68,48,20,31,48,0,20,0,13,19,1,NA,late,0,1,0.19117647058823528,0.7683823529411764,0.04044117647058824,0,0
puntal,2018-19,2018-19 early,1,321,361,352,317,35,9,138,179,1,34,1,29,10,NA,early,0.6051136363636364,0.39488636363636365,0.002840909090909091,0.291520979020979,0.1005244755244755,0.026054527800235018,0.026054527800235018
puntal,2019-20,2019-20 early,1,321,694,589,588,1,105,253,335,0,1,5,9,16,NA,early,0.5704584040747029,0.4295415959252971,0.008488964346349746,0.15157894736842104,0.2694736842105263,0.0203965614006346,0.0203965614006346
puntal,2019-20,2019-20 mid,2,321,107,52,52,0,55,31,21,0,0,1,18,7,NA,mid,0.40384615384615385,0.5961538461538461,0.019230769230769232,0.41538461538461535,0.16153846153846155,0.06804331734974511,0.06804331734974511
puntal,2019-20,2019-20 late,3,321,64,45,43,2,19,35,8,2,0,1,15,0,NA,late,0.17777777777777778,0.8222222222222222,0.022222222222222223,0.7999999999999999,0,0.05699373055310028,0.05699373055310028
puntal,2018-19,2018-19 early,1,322,298,295,263,32,3,158,105,12,20,5,24,16,NA,early,0.423728813559322,0.576271186440678,0.01694915254237288,0.3355932203389831,0.22372881355932206,0.028770435986335607,0.028770435986335607
puntal,2019-20,2019-20 early,1,322,139,137,135,2,2,98,37,0,2,21,17,14,NA,early,0.2846715328467153,0.7153284671532847,0.15328467153284672,0.30821756534024014,0.2538262302801978,0.03855356035831597,0.03855356035831597
puntal,2019-20,2019-20 mid,2,322,64,28,27,1,36,19,8,0,1,0,9,6,NA,mid,0.32142857142857145,0.6785714285714286,0,0.40714285714285714,0.27142857142857146,0.0882594076122765,0.08825940761227649
puntal,2019-20,2019-20 late,3,322,43,34,23,11,9,21,2,3,8,0,NA,NA,NA,late,0.29411764705882354,0.7058823529411765,0,NA,NA,0.07814248990059665,0.07814248990059665
puntal,2018-19,2018-19 early,1,323,273,252,222,30,21,207,15,2,28,7,29,10,NA,early,0.17063492063492064,0.8293650793650794,0.027777777777777776,0.5960520960520961,0.20553520553520552,0.023697719776352988,0.023697719776352984
puntal,2019-20,2019-20 early,1,323,205,77,28,49,128,23,5,4,45,7,7,2,NA,early,0.6493506493506493,0.35064935064935066,0.09090909090909091,0.20202020202020202,0.05772005772005771,0.0543789473609496,0.0543789473609496
puntal,2019-20,2019-20 mid,2,323,244,188,169,19,56,162,7,16,3,37,30,0,NA,mid,0.05319148936170213,0.9468085106382979,0.19680851063829788,0.75,0,0.016367156205045252,0.016367156205045256
puntal,2018-19,2018-19 early,1,324,312,304,282,22,8,239,43,2,20,0,31,9,NA,early,0.20723684210526316,0.7927631578947368,0,0.6143914473684211,0.17837171052631579,0.023247080559455926,0.023247080559455926
puntal,2019-20,2019-20 early,1,324,215,212,208,4,3,129,79,0,4,0,1,29,NA,early,0.3915094339622642,0.6084905660377359,0,0.02028301886792453,0.5882075471698114,0.03352201452670106,0.03352201452670106
puntal,2019-20,2019-20 mid,2,324,184,168,141,27,16,139,2,6,21,0,30,0,NA,mid,0.13690476190476192,0.8630952380952381,0,0.8630952380952381,0,0.026520639769154367,0.02652063976915436
puntal,2019-20,2019-20 late,3,324,138,36,27,9,102,25,2,2,7,0,8,2,NA,late,0.25,0.75,0,0.6000000000000001,0.15000000000000002,0.07216878364870322,0.07216878364870322
puntal,2018-19,2018-19 early,1,325,291,290,282,8,1,135,147,0,8,0,30,10,NA,early,0.5344827586206896,0.46551724137931033,0,0.34913793103448276,0.11637931034482758,0.029291103707552175,0.029291103707552175
puntal,2019-20,2019-20 early,1,325,387,306,306,0,81,288,18,0,0,0,9,21,NA,early,0.058823529411764705,0.9411764705882353,0,0.2823529411764706,0.6588235294117647,0.01345086942294187,0.013450869422941871
puntal,2019-20,2019-20 mid,2,325,170,84,81,3,86,52,29,0,3,0,23,12,NA,mid,0.38095238095238093,0.6190476190476191,0,0.4068027210884354,0.2122448979591837,0.05298558478706541,0.05298558478706541
puntal,2019-20,2019-20 late,3,325,64,27,24,3,37,18,6,0,3,0,NA,NA,NA,late,0.3333333333333333,0.6666666666666666,0,NA,NA,0.09072184232530289,0.09072184232530289
puntal,2018-19,2018-19 early,1,326,284,271,256,15,13,150,106,0,15,0,27,14,NA,early,0.44649446494464945,0.5535055350553506,0,0.36450364503645044,0.18900189001890022,0.030198430943235453,0.03019843094323545
puntal,2019-20,2019-20 early,1,326,583,551,509,42,32,301,208,1,41,0,9,21,NA,early,0.4519056261343013,0.5480943738656987,0,0.1644283121597096,0.38366606170598905,0.021201947107895556,0.021201947107895556
